clIent number,Attrition Flag,Customer-age,Gender,Education LEVEL,marital status,Income_Category,MonthsBook,CD,Avg_Utilization_Ratio,PhoneNumber,Address,dependents
768805383,Existing Customer,45.0,M ,High School,Married,$60K - $80K,39,,0.061,+33--6-23-45-67-89,"Berlin, Rue de Rivoli, 10117",2
818770008,Existing Customer,49.0,F,Graduate,Single,Less than $40K,44,8256.0,0.105,+44 7911 --123456,"Berlin, Rue de Rivoli, 00187",
713982108,Existing Customer,51.0,M,Graduate,Married,$80K - $120K,36,,0.0,+4923 456 7890,"Madrid, Via Condotti, 75001",
769911858,Existing Customer,40.0,F,High School,Unknown,Less than $40K,34,3313.0,0.76,+33 6 12 34 56 78,"Paris, Via Condotti, 75001",1
709106358,Existing Customer,4.0,Femme,Uneducated,Married,$60K - $80K,21,,0.0,+44 20 7946 0958,"Paris, Rue de Rivoli, 00187",
713061558,Existing Customer,44.0,M,Graduate,Married,$40K - $60K,36,4010.0,0.311,+44 20 7946 0958,"London, Unter den Linden, NW1 6XE",1
810347208,Existing Customer,51.0,M,Unknown,Married,$120K +,46,,0.066,+44 20 7946 0958,"Rome, Baker Street, 00187",1
818906208,Existing Customer,32.0,M,High School,Unknown,$60K - $80K,27,29081.0,0.048,+33 6--12 34--56 78,"Berlin, Unter den Linden, 10117",0
710930508,Existing Customer,370.0,M,Uneducated,Single,$60K - $80K,36,22352.0,0.113, +49 30 12345678,"Paris, Unter den Linden, 00187",
719661558,Existing Customer,48.0,m,Graduate,Single,$80K - $120K,36,11656.0,0.144,+49 1523 456 7890,"Madrid, Unter den Linden, NW1 6XE",
708790833,Existing Customer,42.0,M ,Uneducated,Unknown,$120K +,31,6748.0,0.217,+33--6-23-45-67-89,"Paris, Baker Street, 00187",5
710821833,Existing Customer,65.0,M,Unknown,Married,$40K - $60K,54,,0.174,+33 6 12 34 56 78,"Berlin, Gran Via, 75001",
710599683,Existing Customer,6.0,M,College,Single,$80K - $120K,36,11751.0,0.0,+33--6-23-45-67-89,"Berlin, Baker Street, 75001",
816082233,Existing Customer,35.0,M,Graduate,Unknown,$60K - $80K,30,8547.0,0.195,+49 1523 456 7890,"Paris, Baker Street, 75001",
712396908,Existing Customer,57.0,Femme,Graduate,Married,Less than $40K,48,2436.0,0.279,+49 1523 456 7890,"London, Unter den Linden, 00187",
,,44.0,Fe,Unknown,Unknown,$80K - $120K,37,4234.0,0.23,+49 1523--4567890,"Paris, Via Condotti, 75001",1
709967358,Existing Customer,480.0,  ,Post-Graduate,Single,$80K - $120K,36,30367.0,0.078,+33--6-23-45-67-89,"London, Rue de Rivoli, 28013",
753327333,Existing Customer,41.0,M,Unknown,Married,$80K - $120K,34,13535.0,0.095,+44 7911 123456,"Rome, Rue de Rivoli, 28013",1
